Player_Name,Role,Matches,Runs,Outs,Balls_Faced,Wickets,Runs_Conceded,Balls_Bowled,Style,Age,Inns,Fours,Sixes,Century,Half_century,Average,Strike_Rate,Economy,Rank
Rohit Sharma,Batsman,159,4231,132,3004,1,113,68,Right-hand,38,151,383,205,5,32,32.05,140.85,9.97,1
Virat Kohli,Batsman,125,4188,86,3034,4,204,152,Right-hand,37,117,369,124,1,38,48.7,138.04,8.05,2
Suryakumar Yadav,Batsman,68,2432,56,1450,0,0,0,Right-hand,35,65,215,133,4,20,43.43,167.72,0.0,3
KL Rahul,Batsman,72,2265,60,1628,0,0,0,Right-hand,32,68,191,99,2,22,37.75,139.13,0.0,4
Shikhar Dhawan,Batsman,68,1759,63,1389,0,0,0,Left-hand,38,66,191,50,0,11,27.92,126.64,0.0,5
MS Dhoni,Batsman,98,1617,43,1282,0,0,0,Right-hand,42,85,116,52,0,2,37.6,126.13,0.0,6
Suresh Raina,Batsman,78,1605,55,1190,13,450,360,Left-hand,37,66,145,58,1,5,29.18,134.87,7.5,7
Rishabh Pant,Batsman,74,1158,50,915,0,0,0,Left-hand,28,66,103,42,0,3,23.16,126.56,0.0,8
Shreyas Iyer,Batsman,51,1104,36,811,0,0,0,Right-hand,29,48,88,42,0,8,30.67,136.13,0.0,9
Gautam Gambhir,Batsman,37,932,34,783,0,0,0,Left-hand,42,36,109,10,0,7,27.41,119.03,0.0,10
Ishan Kishan,Batsman,32,796,31,642,0,0,0,Left-hand,25,32,80,36,0,6,25.68,123.99,0.0,11
Yashasvi Jaiswal,Batsman,23,723,20,441,0,0,0,Left-hand,24,23,85,38,1,5,36.15,163.95,0.0,12
Manish Pandey,Batsman,39,709,16,562,0,0,0,Right-hand,34,33,55,18,0,3,44.31,126.16,0.0,13
Dinesh Karthik,Batsman,60,686,26,482,0,0,0,Right-hand,38,48,72,28,0,1,26.38,142.32,0.0,14
Ruturaj Gaikwad,Batsman,23,633,18,452,0,0,0,Right-hand,27,20,62,22,1,4,35.17,140.04,0.0,15
Shubman Gill,Batsman,21,578,18,414,0,0,0,Right-hand,24,21,56,21,1,3,32.11,139.61,0.0,16
Sanju Samson,Batsman,30,444,23,335,0,0,0,Right-hand,31,26,35,20,0,2,19.3,132.54,0.0,17
Rinku Singh,Batsman,23,418,7,237,0,7,6,Left-hand,28,17,31,26,0,2,59.71,176.37,7.0,18
Ajinkya Rahane,Batsman,20,375,18,330,0,0,0,Right-hand,35,20,45,4,0,1,20.83,113.64,0.0,19
Tilak Varma,Batsman,16,336,10,241,2,41,30,Left-hand,23,15,23,15,0,2,33.6,139.42,8.2,20
Devdutt Padikkal,Batsman,12,280,10,220,0,0,0,Left-hand,25,10,32,8,0,2,28.0,127.27,0.0,21
Robin Uthappa,Batsman,13,249,10,211,0,0,0,Right-hand,38,12,26,6,0,1,24.9,118.01,0.0,22
Murali Vijay,Batsman,9,169,9,154,0,0,0,Right-hand,40,9,14,7,0,0,18.78,109.74,0.0,23
Sameer Rizvi,Batsman,5,160,1,98,0,0,0,Right-hand,22,2,12,11,0,2,160.0,163.27,0.0,24
Rahul Tripathi,Batsman,5,157,5,110,0,0,0,Right-hand,35,5,18,6,0,0,31.4,142.73,0.0,25
Abhishek Sharma,Batsman,5,124,4,71,2,35,24,Left-hand,23,5,10,9,1,0,31.0,174.65,8.75,26
Angkrish Raghuvanshi,Batsman,4,110,2,65,0,0,0,Right-hand,21,3,12,4,0,2,55.0,169.23,0.0,27
Jitesh Sharma,Batsman,9,100,7,68,0,0,0,Right-hand,30,7,9,5,0,0,14.29,147.06,0.0,28
Sarfaraz Khan,Batsman,3,99,3,49,0,0,0,Right-hand,28,3,16,4,0,1,33.0,202.04,0.0,29
Mandeep Singh,Batsman,3,87,1,72,0,0,0,Right-hand,34,3,10,1,0,1,87.0,120.83,0.0,30
Vaibhav Sooryavanshi,Batsman,2,83,2,35,0,0,0,Left-hand,15,2,9,6,0,1,41.5,237.14,0.0,31
Karun Nair,Batsman,2,45,2,38,0,0,0,Right-hand,34,2,5,1,0,0,22.5,118.42,0.0,32
Ambati Rayudu,Batsman,6,42,4,50,0,0,0,Right-hand,38,5,2,1,0,0,10.5,84.0,0.0,33
Srinivas Aragala,Batsman,2,12,2,15,0,0,0,Right-hand,24,2,1,0,0,0,6.0,80.0,0.0,34
Dhruv Jurel,Batsman,2,6,0,3,0,0,0,Right-hand,23,1,1,0,0,0,6.0,200.0,0.0,35
Sai Sudharsan,Batsman,1,0,0,0,0,0,0,Left-hand,22,0,0,0,0,0,0.0,0.0,0.0,36
Prithvi Shaw,Batsman,1,0,1,1,0,0,0,Right-hand,26,1,0,0,0,0,0.0,0.0,0.0,37
