Player_Name,Role,Matches,Runs,Outs,Balls_Faced,Wickets,Runs_Conceded,Balls_Bowled,Style,Age,Inns,Fours,Sixes,Century,Half_century,Average,Strike_Rate,Economy,Rank
Yuzvendra Chahal,Bowler,80,6,4,15,96,2350,1740,Right-arm Legspin,33,6,0,0,0,0,1.5,40.0,8.1,1
Bhuvneshwar Kumar,Bowler,87,67,14,75,90,2150,1860,Right-arm Medium,34,18,5,1,0,0,4.79,89.33,6.94,2
Jasprit Bumrah,Bowler,70,8,5,10,89,1500,1512,Right-arm Fast,30,8,1,0,0,0,1.6,80.0,5.95,3
Arshdeep Singh,Bowler,52,35,10,45,79,1432,1050,Left-arm Medium,25,15,3,2,0,0,3.5,77.78,8.18,4
Kuldeep Yadav,Bowler,40,60,5,80,69,890,800,Left-arm Chinaman,29,10,5,1,0,0,12.0,75.0,6.68,5
Ravi Bishnoi,Bowler,32,20,3,18,48,850,720,Right-arm Legspin,23,6,2,0,0,0,6.67,111.11,7.08,6
Ashish Nehra,Bowler,27,28,6,45,34,780,600,Left-arm Fast,44,5,2,1,0,0,4.67,62.22,7.8,7
Deepak Chahar,Bowler,25,53,4,21,31,750,540,Right-arm Medium,31,6,3,4,0,0,13.25,252.38,8.33,8
Harbhajan Singh,Bowler,28,108,8,80,25,620,612,Right-arm Offspin,43,13,9,5,0,0,13.5,135.0,6.08,9
Avesh Khan,Bowler,23,45,4,35,25,680,480,Right-arm Fast,27,6,4,1,0,0,11.25,128.57,8.5,10
Khaleel Ahmed,Bowler,18,5,2,12,19,520,384,Left-arm Fast,28,4,0,0,0,0,2.5,41.67,8.12,11
Zaheer Khan,Bowler,17,13,4,20,17,450,380,Left-arm Fast,45,4,1,1,0,0,3.25,65.0,7.11,12
Ashok Dinda,Bowler,9,22,1,15,17,260,180,Right-arm Medium,42,2,3,0,0,0,22.0,146.67,8.67,13
Amit Mishra,Bowler,10,0,0,0,16,240,234,Right-arm Legspin,41,0,0,0,0,0,0.0,0.0,6.15,14
Mohammed Siraj,Bowler,16,10,5,20,14,450,350,Right-arm Fast,30,5,1,0,0,0,2.0,50.0,7.71,15
Navdeep Saini,Bowler,11,12,1,10,13,310,240,Right-arm Fast,31,3,1,1,0,0,12.0,120.0,7.75,16
Mukesh Kumar,Bowler,14,0,0,0,12,410,290,Right-arm Medium,30,0,0,0,0,0,0.0,0.0,8.48,17
Umesh Yadav,Bowler,9,0,0,0,12,280,198,Right-arm Fast,36,0,0,0,0,0,0.0,0.0,8.48,18
Umran Malik,Bowler,8,5,2,10,11,280,160,Right-arm Fast,24,3,1,0,0,0,2.5,50.0,10.5,19
Vinay Kumar,Bowler,9,2,2,5,10,245,186,Right-arm Medium,42,3,0,0,0,0,1.0,40.0,7.9,20
Prasidh Krishna,Bowler,5,0,0,0,8,180,120,Right-arm Fast,28,0,0,0,0,0,0.0,0.0,9.0,21
Rahul Chahar,Bowler,6,5,1,10,7,160,144,Right-arm Legspin,24,1,0,0,0,0,5.0,50.0,6.67,22
Mayank Yadav,Bowler,3,0,0,0,7,85,72,Right-arm Fast,23,0,0,0,0,0,0.0,0.0,7.08,23
T. Natarajan,Bowler,4,0,0,0,7,120,96,Left-arm Medium,33,0,0,0,0,0,0.0,0.0,7.5,24
Mohit Sharma,Bowler,8,0,0,0,6,190,150,Right-arm Medium,35,0,0,0,0,0,0.0,0.0,7.6,25
Harshit Rana,Bowler,4,15,2,10,6,115,84,Right-arm Fast,24,2,2,0,0,0,7.5,150.0,8.21,26
Piyush Chawla,Bowler,7,0,0,0,4,180,150,Right-arm Legspin,35,0,0,0,0,0,0.0,0.0,7.2,27
Mohsin Khan,Bowler,3,0,0,0,4,88,72,Left-arm Fast,27,0,0,0,0,0,0.0,0.0,7.33,28
Tushar Deshpande,Bowler,2,5,1,4,3,68,48,Right-arm Medium,30,1,1,0,0,0,5.0,125.0,8.5,29
Ajit Agarkar,Bowler,4,15,2,12,3,94,63,Right-arm Medium,48,2,1,1,0,0,7.5,125.0,8.95,30
Varun Chakravarthy,Bowler,6,0,2,2,2,150,138,Right-arm Legspin,32,1,0,0,0,0,0.0,0.0,6.52,31
Yash Dayal,Bowler,2,0,0,0,2,60,48,Left-arm Medium,28,0,0,0,0,0,0.0,0.0,7.5,32
Karn Sharma,Bowler,1,1,0,2,1,28,24,Right-arm Legspin,38,1,0,0,0,0,1.0,50.0,7.0,33
Chetan Sakariya,Bowler,2,0,0,0,1,62,48,Left-arm Medium,28,0,0,0,0,0,0.0,0.0,7.75,34
Sandeep Sharma,Bowler,2,0,0,0,1,70,48,Right-arm Medium,30,0,0,0,0,0,0.0,0.0,8.75,35
Simarjeet Singh,Bowler,2,0,0,0,1,55,36,Right-arm Medium,27,0,0,0,0,0,0.0,0.0,9.17,36
Manpreet Gony,Bowler,2,0,0,0,0,56,48,Right-arm Medium,42,0,0,0,0,0,0.0,0.0,7.0,37
Abhimanyu Mithun,Bowler,1,0,0,0,0,25,18,Right-arm Medium,36,0,0,0,0,0,0.0,0.0,8.33,38
Ishan Porel,Bowler,1,0,0,0,0,35,24,Right-arm Medium,27,0,0,0,0,0,0.0,0.0,8.75,39
Sandeep Warrier,Bowler,1,0,0,0,0,28,18,Right-arm Medium,35,0,0,0,0,0,0.0,0.0,9.33,40
S. Tyagi,Bowler,1,0,0,0,0,21,12,Right-arm Medium,38,0,0,0,0,0,0.0,0.0,10.5,41
Parvinder Awana,Bowler,2,0,0,0,0,71,36,Right-arm Medium,39,0,0,0,0,0,0.0,0.0,11.83,42
