Player_Name,Role,Matches,Runs,Outs,Balls_Faced,Wickets,Runs_Conceded,Balls_Bowled,Style,Age,Inns,Fours,Sixes,Century,Half_century,Average,Strike_Rate,Economy
Rohit Sharma,Batsman,159,4231,132,3004,1,113,68,Right-hand,38,151,383,205,5,32,32.05,140.85,9.97
Virat Kohli,Batsman,125,4188,86,3034,4,204,152,Right-hand,37,117,369,124,1,38,48.7,138.04,8.05
Suryakumar Yadav,Batsman,68,2432,56,1450,0,0,0,Right-hand,35,65,215,133,4,20,43.43,167.72,0.0
Hardik Pandya,All-Rounder,100,1492,60,1063,84,2243,1650,Right-arm Fast,30,81,112,75,0,3,24.87,140.36,8.16
Jasprit Bumrah,Bowler,70,8,5,10,89,1500,1512,Right-arm Fast,30,8,1,0,0,0,1.6,80.0,5.95
Ravindra Jadeja,All-Rounder,74,515,24,405,54,1587,1356,Left-hand,35,41,42,16,0,0,21.46,127.16,7.02
KL Rahul,Batsman,72,2265,60,1628,0,0,0,Right-hand,32,68,191,99,2,22,37.75,139.13,0.0
Shubman Gill,Batsman,21,578,18,414,0,0,0,Right-hand,24,21,56,21,1,3,32.11,139.61,0.0
Yashasvi Jaiswal,Batsman,23,723,20,441,0,0,0,Left-hand,24,23,85,38,1,5,36.15,163.95,0.0
Arshdeep Singh,Bowler,52,35,10,45,79,1432,1050,Left-arm Medium,25,15,3,2,0,0,3.5,77.78,8.18
Axar Patel,All-Rounder,60,453,24,350,58,1350,1200,Left-hand,30,35,31,21,0,0,18.88,129.43,6.75
Kuldeep Yadav,Bowler,40,60,5,80,69,890,800,Left-arm Chinaman,29,10,5,1,0,0,12.0,75.0,6.68
Rishabh Pant,Batsman,74,1158,50,915,0,0,0,Left-hand,28,66,103,42,0,3,23.16,126.56,0.0
Mohammed Siraj,Bowler,16,10,5,20,14,450,350,Right-arm Fast,30,5,1,0,0,0,2.0,50.0,7.71
Sanju Samson,Batsman,30,444,23,335,0,0,0,Right-hand,31,26,35,20,0,2,19.3,132.54,0.0
Rinku Singh,Batsman,23,418,7,237,0,7,6,Left-hand,28,17,31,26,0,2,59.71,176.37,7.0
Tilak Varma,Batsman,16,336,10,241,2,41,30,Left-hand,23,15,23,15,0,2,33.6,139.42,8.2
Ruturaj Gaikwad,Batsman,23,633,18,452,0,0,0,Right-hand,27,20,62,22,1,4,35.17,140.04,0.0
Shivam Dube,All-Rounder,33,448,11,308,11,420,280,Left-hand,32,24,24,31,0,3,40.73,145.45,9.0
Washington Sundar,All-Rounder,52,161,12,125,47,1150,1020,Left-hand,24,20,15,4,0,1,13.42,128.8,6.76
Ravi Bishnoi,Bowler,32,20,3,18,48,850,720,Right-arm Legspin,23,6,2,0,0,0,6.67,111.11,7.08
Deepak Chahar,Bowler,25,53,4,21,31,750,540,Right-arm Medium,31,6,3,4,0,0,13.25,252.38,8.33
Shardul Thakur,All-Rounder,25,69,3,38,33,780,480,Right-arm Medium,32,6,6,3,0,0,23.0,181.58,9.75
Ishan Kishan,Batsman,32,796,31,642,0,0,0,Left-hand,25,32,80,36,0,6,25.68,123.99,0.0
Deepak Hooda,All-Rounder,21,368,12,250,6,120,90,Right-hand,29,18,28,18,1,0,30.67,147.2,8.0
